cellid,block,se_t,sp_t,ks,nL,nbar,mupi_t,Jsep,A,s2pi_ind,s2piLP_ind,eps2_soft,rho2_cf_soft,rho2_cf_hard,rho2_mc_soft,rho2_mc_hard,rho2_mcse_soft,rho2_mcse_hard,soft_gain_mc
1,ref,.855,.743,.13,12,81,.1,.5430189869320562,.1316686104770429,.0023375160728379,.002696239345115,.0026048449812782,.7086904108511528,.6634138072537564,.6874396629364,.63913069431879,.0025117672958012,.0029459870824919,.04830896861761
2,ref_ks,.855,.743,3.6,12,81,.1,.2265268701457981,.0605934213271369,.0023375160728379,.002696239345115,.0003853809723877,.7332114698137008,.6624526208380611,.7137488318382508,.638400275836533,.0023665864251222,.0029166759127014,.0753485560017177
3,B_grid,.6,.6,.13,12,25,.1,.1988655004751434,.4005672497616083,.0023375160728379,.002696239345115,.013119470140859,.0773828104552633,.0700214582698734,.0511498667891145,.0435980485681509,.0066499932735887,.0067760769797894,.0075518182209636
4,B_grid,.6,.6,.13,12,50,.1,.1988655004751434,.4005672497616083,.0023375160728379,.002696239345115,.0067355133699245,.1395108563292823,.1271393042390708,.0944412091534161,.0840158783481598,.0062977626836172,.0062851850129289,.0104253308052563
5,B_grid,.6,.6,.13,12,100,.1,.1988655004751434,.4005672497616083,.0023375160728379,.002696239345115,.0033493457937823,.2429888709520941,.2241020906230732,.2168671819627565,.1976048951770066,.0054586162453901,.005485432351119,.01926228678575
6,B_grid,.6,.6,.13,12,200,.1,.1988655004751434,.4005672497616083,.0023375160728379,.002696239345115,.0016693356092087,.3844738616065214,.3605132779625581,.3569682351116869,.331651554836882,.0047185037867653,.004911574283176,.0253166802748049
7,B_grid,.6,.6,.13,12,400,.1,.1988655004751434,.4005672497616083,.0023375160728379,.002696239345115,.0008310130840853,.5419334778481099,.5177861051861328,.5121354179085382,.4872093906243795,.0037428387871386,.003952995639698,.0249260272841588
8,B_grid,.6,.7,.13,12,25,.1,.2877231674966497,.4245314149872622,.0023375160728379,.002696239345115,.0133007465264433,.1465425419426131,.1565860708762824,.1104684124238309,.1275983552562203,.0063462895183365,.005889335653563,-.0171299428323893
9,B_grid,.6,.7,.13,12,50,.1,.2877231674966497,.4245314149872622,.0023375160728379,.002696239345115,.0068632677023955,.2468087416214196,.2613785873620347,.2154350515600825,.2302517130627437,.0056505224835903,.0054969591219002,-.0148166615026612
10,B_grid,.6,.7,.13,12,100,.1,.2877231674966497,.4245314149872622,.0023375160728379,.002696239345115,.0034270525991394,.3888103070180493,.4066407832590475,.3613034729072383,.3771546379049863,.0048892565011155,.0048593657750515,-.015851164997748
11,B_grid,.6,.7,.13,12,200,.1,.2877231674966497,.4245314149872622,.0023375160728379,.002696239345115,.0016966462149703,.5474155247580869,.5646738868860949,.5187163733012026,.5366162625345016,.0037512875388764,.0035649681650615,-.017899889233299
12,B_grid,.6,.7,.13,12,400,.1,.2877231674966497,.4245314149872622,.0023375160728379,.002696239345115,.0008478946919088,.6843411822265349,.6976626955767657,.6664131640205135,.6801071584955249,.0026903113543047,.0025737706814434,-.0136939944750114
13,B_grid,.6,.8,.13,12,25,.1,.2571499284460654,.6142751049565061,.0023375160728379,.002696239345115,.0124149661596471,.1283800992191118,.2812501849751875,.0978588324007864,.2520932727617534,.0061874944194756,.0054141284673088,-.154234440360967
14,B_grid,.6,.8,.13,12,50,.1,.2571499284460654,.6142751049565061,.0023375160728379,.002696239345115,.0063622558831034,.2209364770836866,.4243584450151438,.1969282261135527,.3979604091160321,.005760529719201,.0045903307161427,-.2010321830024795
15,B_grid,.6,.8,.13,12,100,.1,.2571499284460654,.6142751049565061,.0023375160728379,.002696239345115,.0031680605535676,.3566194009632869,.5801401201013322,.3273661165973735,.5563202257632561,.0047884255219375,.0035150077111639,-.2289541091658827
