cellid,block,locus,tau,dcfpar,ks,nL,J_bar,s2a_P,s2j_P,s2a_LP,s2j_LP,mupi_ind,s2pi_ind,s2piLP_ind,eps2_soft,lambda_soft,rho2_cf_soft,rho2_mc_soft,rho_rep_soft,rho2pi_soft,rho2_mcse_soft
1,base,0,0,0,.13,2,.5430189869320561,-3.01449904339e-34,0,7.23479770413e-33,0,.0999999997348261,.0023375160728379,.002696239345115,.0026107058731213,1,.2881369535013359,.2451686616268108,.277177736814482,.2834501156872069,.0073915339133663
2,base,0,0,0,.13,4,.5430189869320561,-3.01449904339e-34,0,7.23479770413e-33,0,.0999999997348261,.0023375160728379,.002696239345115,.0026083599685053,1,.4475404195715936,.4177789443477038,.4451976991390131,.4506967221696204,.0047212529017925
3,base,0,0,0,.13,8,.5430189869320561,-3.01449904339e-34,0,7.23479770413e-33,0,.0999999997348261,.0023375160728379,.002696239345115,.0026058567832879,1,.6185196289667193,.6004243111170421,.6231548729019523,.6172007323282559,.0031946465296565
4,base,0,0,0,.13,12,.5430189869320561,-3.01449904339e-34,0,7.23479770413e-33,0,.0999999997348261,.0023375160728379,.002696239345115,.0026047759873472,1,.7086946003366182,.6922874442852742,.7134231987215165,.714834833678943,.0025037183629995
5,base,0,0,0,.13,16,.5430189869320561,-3.01449904339e-34,0,7.23479770413e-33,0,.0999999997348261,.0023375160728379,.002696239345115,.0026082815604709,1,.7641744894834139,.7499738051254117,.7594749739240304,.7589857372032853,.0020599835988574
6,base,0,0,0,3.6,2,.2265268701457979,-2.09340211346e-36,-5.35910941047e-34,5.02416507231e-35,1.28618625851e-32,.0999999997348261,.0023375160728379,.002696239345115,.0003843854942015,1,.3145615154460996,.2754649302548203,.3150904109281966,.3188112918296365,.0068562771957669
7,base,0,0,0,3.6,4,.2265268701457979,-2.09340211346e-36,-5.35910941047e-34,5.02416507231e-35,1.28618625851e-32,.0999999997348261,.0023375160728379,.002696239345115,.0003840051346693,1,.4787617787751555,.4466462056225172,.4699027680040284,.4734436892590227,.004850668329765
8,base,0,0,0,3.6,8,.2265268701457979,-2.09340211346e-36,-5.35910941047e-34,5.02416507231e-35,1.28618625851e-32,.0999999997348261,.0023375160728379,.002696239345115,.0003856046957758,1,.646818959541076,.630452229170926,.6477872361628769,.6470188675471069,.0029749755917532
9,base,0,0,0,3.6,12,.2265268701457979,-2.09340211346e-36,-5.35910941047e-34,5.02416507231e-35,1.28618625851e-32,.0999999997348261,.0023375160728379,.002696239345115,.0003850462826549,1,.7333364956125028,.718228395466704,.7219218616781669,.7263616269656541,.0022420659311206
10,base,0,0,0,3.6,16,.2265268701457979,-2.09340211346e-36,-5.35910941047e-34,5.02416507231e-35,1.28618625851e-32,.0999999997348261,.0023375160728379,.002696239345115,.0003858257891143,1,.7854663400385024,.7685913557474509,.7824386081758717,.784456591560219,.0019496233252788
11,A_dcf,1,.15,1,.13,2,.5422818547971863,-3.01449904339e-34,.0010792424919027,7.23479770413e-33,4.16950716540e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026149250855281,.9809975354715555,.2912254169454381,.2560739852000916,.2975174264597314,.2748057302885606,.0072728626514823
12,A_dcf,1,.15,1,.13,4,.5420110031434852,-3.01449904339e-34,.0010790109046449,7.23479770413e-33,4.14677382328e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026093664181693,.9809829043694309,.4513015729424691,.4241115870556836,.446835162696835,.4417034882865166,.0050595693115186
13,A_dcf,1,.15,1,.13,8,.542165919022998,-3.01449904339e-34,.001088846041847,7.23479770413e-33,4.15480605646e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026138249904527,.9808236433301115,.6217584091968954,.5973817426859169,.6331734501628089,.6183924087703951,.0033926611937619
14,A_dcf,1,.15,1,.13,12,.5422304954596218,-3.01449904339e-34,.0010787359417655,7.23479770413e-33,4.19344309167e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026121210541081,.9810027550788345,.7115639113959648,.6932791378587659,.7139446776303449,.6960899557127347,.002473195807119
15,A_dcf,1,.15,1,.13,16,.5420486576471362,-3.01449904339e-34,.0010726659714493,7.23479770413e-33,4.16023376247e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026135533188776,.9810951938231586,.7666783321254313,.7499474745183852,.7650989814819913,.7535845046427976,.0020414328789414
16,A_dcf,1,.15,2,.13,2,.5420474497549473,.000298378233598,.000298378233598,2.37943252025e-33,4.18820831359e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026163584976613,.6945369865437218,.3671223177688922,.3221890662722739,.3441574770182302,.2514795071734325,.0066494246320226
17,A_dcf,1,.15,2,.13,4,.5420340380272505,.0002979558420033,.0002979558420033,2.37946869424e-33,4.18533368731e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026149168616288,.6948269557945347,.5370651231606516,.4932272159560316,.5195111262663996,.3814400446600261,.0040042472208378
18,A_dcf,1,.15,2,.13,8,.5420679624855896,.0002984217112616,.0002984217112616,2.37595378836e-33,4.17893491067e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026221851030158,.6945221316548021,.6984829521934074,.6701960688216254,.6832897900874002,.5000194142315789,.002606107554321
19,A_dcf,1,.15,2,.13,12,.5420058526006472,.0002992647304348,.0002992647304348,2.39027868781e-33,4.19453313452e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026206504984238,.6938746320461647,.7767376023429305,.750867772277501,.7744501493738555,.578093423648169,.0018613724836066
20,A_dcf,1,.15,2,.13,16,.5421303350272229,.0002995451011322,.0002995451011322,2.37343768649e-33,4.18909578211e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026192973047577,.6937732722126136,.8227850999639371,.8034175351719508,.8162772192331187,.6130495495639269,.0014228143267097
21,A_dcf,1,.15,3,.13,2,.5413165284043853,.000295087164747,.0013721159014317,2.36494684752e-33,4.28097128202e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026090429614907,.6870338563504216,.3694692748524942,.3146872076927827,.3549726949860532,.2509245726041996,.0068461971616049
22,A_dcf,1,.15,3,.13,4,.5414087741844162,.0002962188068919,.0013628983100689,2.38676177226e-33,4.26381355734e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026168106016319,.6864064568195956,.5393075958926726,.502479064757164,.5285135898716747,.3922096363944051,.0042076035268024
23,A_dcf,1,.15,3,.13,8,.5412479353967693,.0002969055232867,.0013731633270316,2.38419341907e-33,4.27168823270e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026122610026576,.6857195681720932,.7011068465832219,.6777313659196559,.6831640750674544,.515587188379461,.0024276791993332
